name,spike,length,width,height,He,sd,U,err,Th,err,Ca,err,P,err,Si,err,Cl,err,Sm,err,U,err,Th,err
,[ml],[um],[um],[um],4,[ncc],238,[cps],232,[cps],43,[cps],31,[cps],29,[cps],35,[cps],147,[cps],235,[cps],230,[cps]
B211,0.0539,182,104.6,95.6,0.0122,0.001272792,23720.04765,538.4266122,5763.017794,265.6929972,962739.795,38129.87085,11201223.45,537278.212,525657.9372,46807.94707,668053.5656,38728.42478,10140.34574,278.5598217,145965.5338,1785.722972,170738.1562,2040.497841
B212,0.0545,224.2,118.7,110.6,0.0044,0.001272792,19841.84029,504.374717,25559.69574,619.4206896,1625051.368,78343.94002,19104677.59,927382.8784,530302.1218,44829.16345,680270.0371,40280.56516,33007.78397,662.4171144,145914.6088,2377.254779,172273.7141,1948.999068
B213,0.0537,232.2,101.8,95.2,0.1645,0.001802776,49744.23,950.7922135,55644.99676,1018.845917,1529479.352,52800.28143,17403274.52,871502.9898,578017.4447,39661.79895,713537.4549,33578.53276,36039.3075,697.5600032,145597.8728,1931.445722,169706.9596,2001.651349
B214,0.0542,231.5,121.9,110.7,0.0384,0.001345362,51531.03662,932.2453422,51000.38162,947.1954435,1875703.472,65621.4907,21645531.3,982901.9949,631845.6553,161881.7018,686304.0704,41345.64689,14728.37074,350.8525783,146486.5924,2000.5993,172991.0056,2093.339607
B215,0.0539,236.5,86.3,85.6,0.0407,0.001414214,62148.44515,1088.96543,21617.89294,492.0148549,1010980.736,51354.97794,11714897.1,533163.2795,585971.6272,40996.47449,713724.005,32851.09515,35885.38235,685.7493199,147173.81,2015.123142,170097.9787,2153.352438
B216,0.0541,196.1,78.5,86.4,0.0268,0.001414214,32080.915,793.1686954,51751.67029,931.5989434,901210.4682,36977.51232,10578604.87,415937.6789,541848.7665,40230.68323,691146.8626,42802.75423,10882.41926,371.1567345,148003.6318,1945.575074,174355.1806,2016.679314
B217,0.0537,193.9,86.5,90.4,0.0011,0.001272792,9027.028824,295.2475606,4948.334853,213.3915594,17958.7525,2362.439353,270863.0878,61024.16213,488377.0857,41092.25156,671890.3449,40045.22514,274.0441176,54.73993708,145362.8675,1938.192178,170213.299,2128.067384
B218,0.0547,214.1,102,98.7,0.0214,0.001345362,43627.11324,943.5469939,41678.59882,735.9911962,1394940.649,48609.42135,16219338.75,1040253.641,510676.8541,43296.94423,710114.3416,33317.78732,22964.60382,458.1870562,146914.2969,2079.066302,173306.8428,1868.335789
B219,0.0546,209.5,107.2,102.4,0.015,0.001345362,21538.95441,533.0847885,7510.650441,250.899361,1550029.693,52993.99037,17579762,930687.3621,508114.1935,47994.96449,669704.7653,45769.28713,1652.653529,118.8412614,148984.4974,1947.013258,174924.3425,1985.502098
B220,0.0538,190.3,90.7,90,0.0108,0.001272792,23431.97721,552.1020528,22097.58794,509.8436237,858062.7671,37218.82416,9884176.06,507555.415,533071.729,40413.76822,719615.9718,39089.26674,11068.05118,291.1232919,145617.7353,2124.427446,171347.4849,2215.570777
